Date,Open,High,Low,Close,Volume
05/01/2023,"381.73","383.64","381.52","381.79","3,069,297"
04/28/2023,"378.04","382.12","378.00","382.05","3,386,907"
04/27/2023,"373.89","379.13","373.67","378.81","4,302,377"
04/26/2023,"373.66","374.68","370.98","371.44","3,766,896"
04/25/2023,"377.18","377.70","373.02","373.10","3,795,428"
04/24/2023,"378.48","379.47","377.23","379.09","2,310,373"
04/21/2023,"378.68","379.10","376.82","378.59","2,762,306"
04/20/2023,"377.78","380.07","376.94","378.37","2,953,173"
04/19/2023,"378.73","381.33","378.67","380.52","2,671,311"
04/18/2023,"381.84","381.92","379.24","380.54","3,019,268"
04/17/2023,"378.84","380.32","377.68","380.28","2,721,004"
04/14/2023,"379.27","381.33","376.72","378.99","2,981,653"
04/13/2023,"375.91","380.17","375.44","379.77","2,680,870"
04/12/2023,"378.40","378.62","374.32","374.91","3,624,173"
04/11/2023,"376.90","377.76","375.69","376.41","3,069,001"
04/10/2023,"373.55","376.39","372.96","376.36","2,671,117"
04/06/2023,"373.67","376.19","372.72","375.95","3,076,223"
04/05/2023,"374.71","375.42","372.89","374.52","3,227,735"
04/04/2023,"378.19","378.40","374.13","375.43","2,713,278"
04/03/2023,"375.60","377.91","375.22","377.56","3,525,296"
03/31/2023,"371.78","376.34","371.65","376.07","4,159,844"
03/30/2023,"371.23","371.48","369.10","370.89","3,316,742"
03/29/2023,"367.40","368.94","366.29","368.69","3,636,069"
03/28/2023,"363.54","364.20","361.68","363.52","2,413,653"
03/27/2023,"365.73","366.43","363.40","364.16","4,144,795"
03/24/2023,"359.98","363.63","357.72","363.56","3,740,941"
03/23/2023,"364.48","368.29","360.12","362.64","4,787,193"
03/22/2023,"367.78","371.22","361.66","361.78","4,094,840"
03/21/2023,"366.42","368.41","364.88","367.88","4,117,629"
03/20/2023,"360.47","363.58","359.82","363.13","3,099,753"
03/17/2023,"362.76","363.79","358.42","359.88","5,189,907"
03/16/2023,"355.54","364.26","354.99","363.86","5,049,842"
03/15/2023,"354.46","357.88","352.57","357.74","6,610,393"
03/14/2023,"358.88","361.51","355.63","359.96","4,798,811"
03/13/2023,"350.76","358.67","349.76","354.08","6,478,693"
03/10/2023,"359.33","361.24","353.14","354.68","8,360,402"
03/09/2023,"367.35","368.88","358.85","359.84","4,409,629"
03/08/2023,"366.11","367.30","364.44","366.55","2,906,258"
03/07/2023,"371.63","371.89","365.39","365.98","3,546,141"
03/06/2023,"372.26","374.44","371.30","371.73","2,638,325"
03/03/2023,"367.29","371.67","366.70","371.28","4,913,599"
03/02/2023,"360.81","366.36","360.53","365.49","2,730,814"
03/01/2023,"363.34","364.51","361.45","362.78","3,764,724"
02/28/2023,"365.01","366.86","364.05","364.11","3,022,200"
02/27/2023,"367.49","368.77","364.59","365.49","3,300,148"
02/24/2023,"363.31","365.03","361.73","364.23","4,055,007"
02/23/2023,"369.07","369.57","364.13","368.17","2,867,193"
02/22/2023,"367.18","368.60","364.84","366.33","3,872,004"
02/21/2023,"370.40","371.34","366.48","366.79","3,109,176"
02/17/2023,"373.18","374.45","371.32","374.22","3,285,327"
02/16/2023,"375.66","379.43","375.09","375.19","3,077,501"
02/15/2023,"377.15","380.53","376.33","380.48","2,831,621"
02/14/2023,"377.96","381.42","375.45","379.21","4,718,037"
02/13/2023,"375.65","379.44","375.20","379.35","2,980,600"
02/10/2023,"373.00","375.39","372.20","375.02","3,256,705"
02/09/2023,"380.97","381.00","372.95","374.11","3,327,715"
02/08/2023,"379.69","380.93","376.73","377.34","2,921,503"
02/07/2023,"375.79","382.75","374.62","381.52","4,504,633"
02/06/2023,"376.58","377.93","375.02","376.66","2,880,098"
02/03/2023,"378.23","383.20","377.79","378.85","6,472,509"
02/02/2023,"381.25","384.41","379.40","382.94","5,207,926"
02/01/2023,"372.44","380.16","369.76","377.53","4,941,692"
01/31/2023,"368.61","373.54","368.33","373.44","4,181,686"
01/30/2023,"370.15","372.29","367.86","368.21","3,280,594"
01/27/2023,"370.89","375.08","370.76","372.87","5,549,522"
01/26/2023,"370.46","372.06","367.61","371.81","3,460,934"
01/25/2023,"363.78","368.16","361.66","367.88","3,061,683"
01/24/2023,"366.57","368.61","365.42","367.75","2,702,380"
01/23/2023,"364.51","370.00","363.65","368.14","3,243,283"
01/20/2023,"358.45","363.91","356.88","363.71","3,265,062"
01/19/2023,"357.76","359.36","355.85","357.14","3,514,877"
01/18/2023,"366.67","367.66","359.58","359.73","3,931,803"
01/17/2023,"366.19","367.72","364.87","365.67","4,942,003"
01/13/2023,"361.68","366.73","361.47","366.23","3,015,160"
01/12/2023,"364.48","366.15","360.60","364.81","4,743,460"
01/11/2023,"360.41","363.51","359.66","363.45","5,710,532"
01/10/2023,"355.84","358.95","354.96","358.87","3,495,719"
01/09/2023,"358.73","361.73","356.22","356.33","3,775,322"
01/06/2023,"351.59","357.67","348.74","356.59","3,464,777"
01/05/2023,"350.73","350.80","348.06","348.66","3,216,538"
01/04/2023,"352.10","354.56","349.20","352.51","3,119,087"
01/03/2023,"353.18","355.04","347.19","349.99","4,957,334"
12/30/2022,"349.79","351.49","347.76","351.34","5,325,447"
12/29/2022,"348.91","353.13","348.47","352.31","4,086,575"
12/28/2022,"350.42","352.20","345.90","346.17","4,464,644"
12/27/2022,"351.76","352.04","348.85","350.47","4,303,215"
12/23/2022,"348.93","351.95","347.35","351.87","4,571,981"
12/22/2022,"351.98","352.25","344.34","349.91","6,462,233"
12/21/2022,"352.20","355.95","351.70","354.90","3,832,448"
12/20/2022,"348.45","351.17","347.21","349.67","5,068,210"
12/19/2022,"354.13","354.34","349.25","350.81","5,538,489"
12/16/2022,"355.65","356.83","351.79","353.86","4,533,074"
12/15/2022,"362.47","363.24","356.46","358.13","5,126,752"
12/14/2022,"369.10","372.80","364.25","367.16","4,707,115"
12/13/2022,"377.11","377.19","366.80","369.39","6,161,825"
12/12/2022,"362.28","366.68","361.58","366.68","2,946,216"
12/09/2022,"363.00","365.44","361.34","361.52","4,271,355"
12/08/2022,"363.13","365.15","361.60","364.18","3,604,516"
12/07/2022,"361.05","363.61","360.31","361.33","3,337,977"
12/06/2022,"367.09","367.61","359.93","362.03","3,911,040"
12/05/2022,"371.28","372.19","365.99","367.34","3,706,993"
12/02/2022,"369.66","374.88","369.66","374.00","3,595,984"
12/01/2022,"375.87","377.00","372.05","374.54","4,608,628"
11/30/2022,"363.45","374.59","361.65","374.49","4,748,832"
11/29/2022,"363.93","365.18","361.48","363.31","2,507,770"
11/28/2022,"366.86","368.38","363.15","363.95","3,557,001"
11/25/2022,"369.39","370.34","369.06","369.80","1,423,444"
11/23/2022,"367.21","370.36","367.02","369.84","2,590,859"
11/22/2022,"364.51","367.68","363.21","367.54","2,315,964"
11/21/2022,"362.77","363.74","360.87","362.71","2,397,875"
11/18/2022,"365.46","365.59","361.23","363.99","2,574,370"
11/17/2022,"358.80","362.99","358.57","362.39","3,284,424"
11/16/2022,"364.70","365.52","362.85","363.44","2,755,123"
11/15/2022,"368.65","369.74","362.59","366.22","4,597,800"
11/14/2022,"364.57","367.79","362.89","363.22","5,274,312"
11/11/2022,"363.69","367.02","361.74","366.16","4,877,385"
11/10/2022,"356.52","363.01","354.41","362.69","4,603,632"
11/09/2022,"349.08","350.22","343.36","343.87","3,570,793"
11/08/2022,"350.21","353.87","347.08","351.04","3,237,196"
11/07/2022,"347.06","349.71","345.10","349.14","3,316,597"
11/04/2022,"346.41","348.02","340.00","345.82","3,655,444"
11/03/2022,"341.34","343.81","338.90","340.83","4,534,774"
11/02/2022,"352.78","357.13","344.41","344.50","5,022,535"
11/01/2022,"358.53","358.77","352.29","353.52","8,014,279"
10/31/2022,"355.16","356.92","354.05","354.95","6,430,961"
10/28/2022,"349.04","357.98","348.95","357.38","4,388,078"
10/27/2022,"352.05","353.79","348.60","349.23","4,145,263"
10/26/2022,"350.70","356.17","350.44","351.11","4,277,708"
10/25/2022,"348.05","354.03","348.03","353.75","5,203,396"
10/24/2022,"345.45","349.23","342.87","348.09","5,639,417"
10/21/2022,"335.50","344.39","334.13","343.90","4,362,430"
10/20/2022,"338.17","342.42","335.05","335.83","3,459,059"
10/19/2022,"339.04","341.67","335.90","338.61","4,403,233"
10/18/2022,"344.68","345.00","337.77","340.97","4,903,278"
10/17/2022,"334.57","338.10","334.46","337.00","3,889,516"
10/14/2022,"338.62","340.19","328.03","328.65","4,883,998"
10/13/2022,"320.84","337.68","319.87","336.22","6,396,891"
10/12/2022,"329.15","330.58","327.44","327.64","3,235,062"
10/11/2022,"329.20","333.56","326.85","328.66","4,968,108"
10/10/2022,"334.47","334.67","328.66","330.84","3,933,860"
10/07/2022,"339.08","339.34","331.65","333.33","5,168,076"
10/06/2022,"345.18","347.98","342.49","342.96","3,879,612"
10/05/2022,"343.12","348.64","340.86","346.61","4,755,772"
10/04/2022,"342.14","347.33","342.13","347.21","5,109,957"
10/03/2022,"331.79","338.66","330.10","336.98","5,738,997"
09/30/2022,"332.57","336.19","328.12","328.30","7,736,631"
09/29/2022,"337.15","337.30","330.53","333.38","7,230,121"
09/28/2022,"334.80","342.10","333.18","340.48","8,683,949"
09/27/2022,"339.79","341.84","333.08","335.39","5,795,659"
09/26/2022,"338.23","341.66","335.07","336.34","5,405,686"
09/23/2022,"342.08","342.08","335.31","339.63","10,491,490"
09/22/2022,"347.55","348.54","344.67","345.37","5,555,622"
09/21/2022,"356.38","359.30","348.31","348.31","5,102,402"
09/20/2022,"355.38","356.38","351.83","354.55","3,623,962"
09/19/2022,"352.80","358.59","352.75","358.59","3,412,645"
09/16/2022,"354.56","356.48","352.69","355.86","4,452,268"
09/15/2022,"361.16","363.97","357.40","358.68","3,807,460"
09/14/2022,"362.58","364.17","359.53","362.73","3,555,510"
09/13/2022,"369.34","370.53","360.28","361.38","5,549,174"
09/12/2022,"375.82","378.51","375.51","377.86","2,961,354"
09/09/2022,"370.24","374.61","369.98","373.75","2,621,561"
09/08/2022,"363.38","368.48","362.27","368.07","3,692,037"
